5387,20181017,173125,89.3617,28.0608,56.9116,0.242123,5.10846e+07,8.34208e+07,55.2034,0.118597,28.9058,4.04667,59.4978,0.368699
5433,20181020,193012,172.111,117.31,57.677,0.269638,7.0249e+07,1.41421,56.4457,0.186883,61.7765,11.5002,59.0998,0.21813
5439,20181022,34311,164.852,97.2673,57.819,0.244502,1.22534e+07,1.41421,56.862,0.137405,45.6273,11.663,59.4625,0.407113
5449,20181022,191548,3.17265e+07,1.82868e+08,57.2003,0.227839,-34.5676,8.82364,54.9147,0.527952,52.9575,31.5613,59.4482,0.974406
5460,20181023,203418,1.41921e+07,5.86381e+07,57.7015,0.19152,-110.386,61.6714,56.722,0.367808,91.85,67.9504,59.1729,0.623566
5759,20181102,43730,10.0383,0.278805,58.6504,0.183494,12.5126,0.547029,56.4614,0.221882,8.71163,0.292637,60.482,0.276654
5766,20181102,162108,17.2371,1.2875,56.7851,0.283752,17.3173,1.72668,56.1573,0.370935,13.2188,2.081,58.9963,0.819253
5770,20181103,4218,15.8402,0.907773,57.9148,0.240963,20.1867,1.50671,56.0817,0.234695,12.731,0.883834,59.8283,0.404293
5771,20181103,70848,18.409,1.61541,57.3646,0.315954,17.1294,1.38123,56.9569,0.321778,14.1876,1.05543,59.5385,0.439231
5777,20181104,102436,18.4376,1.17066,58.5335,0.239768,21.7867,0.841234,57.5322,0.119156,16.6313,1.56228,59.4018,0.398011
5779,20181104,215232,28.9777,3.92242,57.7816,0.323759,35.1564,6.22583,56.8692,0.337525,18.1768,1.8433,59.9759,0.452004
5785,20181105,164926,33.2247,4.93645,57.7265,0.301473,44.4266,9.55768,56.9029,0.329556,24.85,3.99719,58.9594,0.487922
5786,20181106,41203,24.2665,1.80237,58.7712,0.209023,34.2747,4.95535,57.3366,0.293702,19.9689,1.65188,59.9423,0.287047
5794,20181106,202406,105.097,47.6973,56.7708,0.297118,158.327,87.7544,56.1362,0.242459,36.4727,11.4537,58.9725,0.628966
5809,20181107,171214,56.008,12.5208,58.1833,0.28049,102.669,50.9221,56.999,0.320503,35.0469,8.19507,59.6,0.501032
5814,20181108,112037,122.257,55.3799,57.5835,0.258627,7.77219e+06,8.95323e+07,56.5198,0.156577,35.8497,9.85341,59.5323,0.583746
5817,20181108,231159,129.448,50.6312,57.6918,0.205743,1.82128e+08,1.41421,56.6262,0.0845676,38.2372,8.31156,59.6764,0.415318
5826,20181109,233403,200.185,64.2073,57.8569,0.112534,1.02856e+08,1.41421,57.2241,0.10792,65.237,16.3323,58.9065,0.29084
5835,20181110,214117,93.6725,46.1769,58.5305,0.372822,1.06611e+08,2.41233e+08,57.1745,0.154039,42.2794,9.4916,59.8264,0.339567
